# Williams et al. 2016 / Dentro et al. 2021 median effective Ne by cancer type (calibration anchors)
cancer_type	Ne_median	VA_median	source
AML	1200	0.220	Williams2016
GBM	1800	0.195	Williams2016
SKCM_BRAF	2750	0.162	Williams2016
BRCA_HER2	4100	0.141	Dentro2021
NSCLC_EGFR	5050	0.112	Williams2016
NSCLC_general	5800	0.092	Williams2016
COADREAD_TCGA	7600	0.068	Williams2016
PRAD_ARSI	9800	0.047	Williams2016
THCA	14200	0.019	Williams2016
HNSC	3100	0.155	Dentro2021
BLCA	5600	0.104	Dentro2021
STAD	7000	0.078	Dentro2021
LIHC	9100	0.052	Dentro2021
KIRC	10400	0.042	Dentro2021
LUSC	5100	0.112	Dentro2021
ESCA	8500	0.058	Dentro2021
UCEC	6200	0.085	Dentro2021
DEFAULT	5000	0.080	PCAWG_median
